fold,best_val_acc_fp32,best_epoch,stopped_epoch,val_acc_fp32,val_acc_int8,test_acc_fp32,test_acc_int8
0,0.689655,83,233,0.689655,0.672414,0.486111,0.489583
1,0.655172,207,357,0.655172,0.655172,0.465278,0.465278
2,0.672414,150,300,0.672414,0.689655,0.444444,0.447917
3,0.614035,122,272,0.614035,0.614035,0.416667,0.416667
4,0.614035,89,239,0.614035,0.614035,0.326389,0.329861
mean,0.649062,,,0.649062,0.649062,0.427778,0.429861
